Acer;Nitro 5 AN515-45-R671;161999;AMD Ryzen 7 5800H;8;3.2;NVIDIA GeForce RTX 3080 для ноутбуков 8 ГБ;AMD Radeon Graphics;16;DDR4;1000;2560x1440;15.6;IPS;без ОС
MSI;Delta 15 A5EFK-038RU;169999;AMD Ryzen 7 5800H;8;3.2;AMD Radeon RX 6700M 10 ГБ;AMD Radeon Graphics;16;DDR4;2000;1920x1080;15.6;IPS;Windows 10 Home Single Language
HP;OMEN 16-c0057ur;169999;AMD Ryzen 7 5800H;8;3.2;NVIDIA GeForce RTX 3070 для ноутбуков 8 ГБ;AMD Radeon Graphics;16;DDR4;512;1920x1080;16.1;IPS;без ОС
HP;OMEN 15-en1021ur;174999;AMD Ryzen 7 5800H;8;3.2;NVIDIA GeForce RTX 3070 для ноутбуков 8 ГБ;AMD Radeon Graphics;16;DDR4;1024;1920x1080;15.6;IPS;без ОС
Acer;Nitro 5 AN515-45-R5A1;179999;AMD Ryzen 7 5800H;8;3.2;NVIDIA GeForce RTX 3080 для ноутбуков 8 ГБ;AMD Radeon Graphics;16;DDR4;1000;2560x1440;15.6;IPS;Windows 11 Home Single Language
Dell;G15 5515;202799;AMD Ryzen 7 5800H;8;3.2;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;AMD Radeon Graphics;16;DDR4;512;1920x1080;15.6;WVA (TN+film);Windows 11 Home Single Language
Alienware;M15 R5;209999;AMD Ryzen 7 5800H;8;3.2;NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ;AMD Radeon Graphics;16;DDR4;512;1920x1080;15.6;IPS;Windows 11 Home Single Language
ASUS;ROG Zephyrus G14 AniMe Matrix GA401QC-K2142T;123299;AMD Ryzen 7 5800HS;8;2.8;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;AMD Radeon Graphics;16;DDR4;512;2560x1440;14;IPS;Windows 10 Home Single Language
ASUS;ROG Zephyrus G14 GA401QC-K2136T;123299;AMD Ryzen 7 5800HS;8;2.8;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;AMD Radeon Graphics;16;DDR4;512;2560x1440;14;IPS;Windows 10 Home Single Language
ASUS;ROG Zephyrus G14 AniMe Matrix GA401QC-K2143T;149999;AMD Ryzen 7 5800HS;8;2.8;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;AMD Radeon Graphics;16;DDR4;512;2560x1440;14;IPS;Windows 10 Home Single Language
HP;OMEN 16-c0003ur;132999;AMD Ryzen 9 5900HX;8;3.3;AMD Radeon RX 6600M 8 ГБ;AMD Radeon Graphics;16;DDR4;1000;1920x1080;16.1;IPS;Windows 10 Home Single Language
ASUS;ROG Strix G15 G513QY-HF001;219999;AMD Ryzen 9 5900HX;8;3.3;AMD Radeon RX 6800M 12 ГБ;AMD Radeon Graphics;16;DDR4;512;1920x1080;15.6;IPS;без ОС
ASUS;ROG Strix G15 G513QY-HF001T;219999;AMD Ryzen 9 5900HX;8;3.3;AMD Radeon RX 6800M 12 ГБ;AMD Radeon Graphics;16;DDR4;512;1920x1080;15.6;IPS;Windows 10 Home Single Language
Dell;G515-0564;86999;Intel Core i5-10200H;4;2.4;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel UHD Graphics;16;DDR4;512;1920x1080;15.6;WVA (TN+film);Windows 10 Home Single Language
Lenovo;IdeaPad Gaming 3 15IMH05;69999;Intel Core i5-10300H;4;2.5;NVIDIA GeForce GTX0 Ti 4 ГБ;Intel UHD Graphics 630;8;DDR4;512;1920x1080;15.6;IPS;без ОС
Acer;Aspire 7 A715-75G-52NW;72999;Intel Core i5-10300H;4;2.5;NVIDIA GeForce GTX0 4 ГБ;Intel UHD Graphics;8;DDR4;256;1920x1080;15.6;IPS;без ОС
Acer;Nitro 5 AN517-52-55V9;79999;Intel Core i5-10300H;4;2.5;NVIDIA GeForce GTX0 4 ГБ;Intel UHD Graphics 630;8;DDR4;512;1920x1080;17.3;IPS;без ОС
ASUS;TUF Gaming F15 FX506LH-HN236;81999;Intel Core i5-10300H;4;2.5;NVIDIA GeForce GTX0 4 ГБ;Intel UHD Graphics;16;DDR4;512;1920x1080;15.6;IPS;без ОС
Lenovo;IdeaPad Gaming 3 15IMH05;69999;Intel Core i5-10300H;4;2.5;NVIDIA GeForce GTX0 Ti 4 ГБ;Intel UHD Graphics 630;8;DDR4;512;1920x1080;15.6;IPS;без ОС
Acer;Aspire 7 A715-75G-52NW;72999;Intel Core i5-10300H;4;2.5;NVIDIA GeForce GTX0 4 ГБ;Intel UHD Graphics;8;DDR4;256;1920x1080;15.6;IPS;без ОС
Acer;Nitro 5 AN517-52-55V9;79999;Intel Core i5-10300H;4;2.5;NVIDIA GeForce GTX0 4 ГБ;Intel UHD Graphics 630;8;DDR4;512;1920x1080;17.3;IPS;без ОС
ASUS;TUF Gaming F15 FX506LH-HN236;81999;Intel Core i5-10300H;4;2.5;NVIDIA GeForce GTX0 4 ГБ;Intel UHD Graphics;16;DDR4;512;1920x1080;15.6;IPS;без ОС
Acer;Nitro 5 AN517-52-57WE;92999;Intel Core i5-10300H;4;2.5;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel UHD Graphics;16;DDR4;512;1920x1080;17.3;IPS;без ОС
Dell;G515-6217;65999;Intel Core i5-10500H;6;2.5;NVIDIA GeForce GTX0 4 ГБ;Intel UHD Graphics;8;DDR4;256;1920x1080;15.6;WVA (TN+film);Linux
Dell;G515-6217;65999;Intel Core i5-10500H;6;2.5;NVIDIA GeForce GTX0 4 ГБ;Intel UHD Graphics;8;DDR4;256;1920x1080;15.6;WVA (TN+film);Linux
GIGABYTE;G5 KC;98999;Intel Core i5-10500H;6;2.5;NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ;Intel UHD Graphics;16;DDR4;512;1920x1080;15.6;IPS;Windows 11 Home Single Language
GIGABYTE;G5;98999;Intel Core i5-10500H;6;2.5;NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ;Intel UHD Graphics 630;16;DDR4;512;1920x1080;15.6;IPS;Windows 10 Home Single Language
GIGABYTE;G5 KC;99999;Intel Core i5-10500H;6;2.5;NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ;Intel UHD Graphics 630;16;DDR4;512;1920x1080;15.6;IPS;без ОС
HP;Pavilion Gaming 17-cd2043ur;84999;Intel Core i5-11300H;4;2.6;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel UHD Graphics;8;DDR4;512;1920x1080;17.3;IPS;без ОС
HP;Pavilion Gaming 17-cd2043ur;84999;Intel Core i5-11300H;4;2.6;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel UHD Graphics;8;DDR4;512;1920x1080;17.3;IPS;без ОС
ASUS;VivoBook Pro 15 K3500PH-L1136W;82999;Intel Core i5-11300H;4;3.1;NVIDIA GeForce GTX0 4 ГБ;Intel Iris Xe Graphics;8;DDR4;256;1920x1080;15.6;OLED;Windows 11 Home Single Language
ASUS;TUF Dash F15 FX516PC-HN558;85999;Intel Core i5-11300H;4;3.1;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel Iris Xe Graphics;8;DDR4;512;1920x1080;15.6;IPS;без ОС
Dell;G15 5510 G515-5392;86399;Intel Core i5-11300H;4;3.1;NVIDIA GeForce GTX 1660 Ti 6 ГБ;Intel UHD Graphics;8;DDR4;1000;1920x1080;15.6;WVA (TN+film);Linux
ASUS;VivoBook Pro 15 K3500PH-L1136W;82999;Intel Core i5-11300H;4;3.1;NVIDIA GeForce GTX0 4 ГБ;Intel Iris Xe Graphics;8;DDR4;256;1920x1080;15.6;OLED;Windows 11 Home Single Language
ASUS;TUF Dash F15 FX516PC-HN558;85999;Intel Core i5-11300H;4;3.1;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel Iris Xe Graphics;8;DDR4;512;1920x1080;15.6;IPS;без ОС
Dell;G15 5510 G515-5392;86399;Intel Core i5-11300H;4;3.1;NVIDIA GeForce GTX 1660 Ti 6 ГБ;Intel UHD Graphics;8;DDR4;1000;1920x1080;15.6;WVA (TN+film);Linux
Lenovo;IdeaPad Gaming 3 15IHU6;86999;Intel Core i5-11300H;4;3.1;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel UHD Graphics;8;DDR4;512;1920x1080;15.6;IPS;без ОС
ASUS;TUF Dash F15 FX516PE-HN004;87999;Intel Core i5-11300H;4;3.1;NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ;Intel Iris Xe Graphics;8;DDR4;512;1920x1080;15.6;IPS;без ОС
Lenovo;IdeaPad Gaming 3 15IHU6;90999;Intel Core i5-11300H;4;3.1;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel Iris Xe Graphics;8;DDR4;512;1920x1080;15.6;IPS;Windows 11 Home Single Language
ASUS;TUF Dash F15 FX516PC-HN023;92999;Intel Core i5-11300H;4;3.1;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel Iris Xe Graphics;16;DDR4;512;1920x1080;15.6;IPS;без ОС
ASUS;TUF Dash F15 FX516PC-HN107;96999;Intel Core i5-11300H;4;3.1;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel Iris Xe Graphics;16;DDR4;512;1920x1080;15.6;IPS;без ОС
Acer;Predator Triton SE PT314-51s-552L;103499;Intel Core i5-11300H;4;3.1;NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ;Intel Iris Xe Graphics;8;DDR4;512;1920x1080;14;IPS;Windows 10 Home Single Language
MSI;GF76 Katana 11SC-483XRU;77999;Intel Core i5-11400H;6;2.7;NVIDIA GeForce GTX0 4 ГБ;Intel UHD Graphics;8;DDR4;256;1920x1080;17.3;IPS;без ОС
MSI;GF63 Thin 11UC-255XRU;79999;Intel Core i5-11400H;6;2.7;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel UHD Graphics;8;DDR4;256;1920x1080;15.6;IPS;без ОС
Dream Machines;RG3050Ti-15RU20;80999;Intel Core i5-11400H;6;2.7;NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ;Intel UHD Graphics;16;DDR4;512;1920x1080;15.6;WVA (TN+film);без ОС
Dell;Inspiron 15 Plus 7510;82999;Intel Core i5-11400H;6;2.7;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel UHD Graphics;8;DDR4;512;1920x1080;15.6;WVA (TN+film);Windows 11 Home Single Language
MSI;GF63 Thin 11UD-254XRU;84999;Intel Core i5-11400H;6;2.7;NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ;Intel UHD Graphics;8;DDR4;256;1920x1080;15.6;IPS;без ОС
MSI;GF76 Katana 11SC-483XRU;77999;Intel Core i5-11400H;6;2.7;NVIDIA GeForce GTX0 4 ГБ;Intel UHD Graphics;8;DDR4;256;1920x1080;17.3;IPS;без ОС
MSI;GF63 Thin 11UC-255XRU;79999;Intel Core i5-11400H;6;2.7;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel UHD Graphics;8;DDR4;256;1920x1080;15.6;IPS;без ОС
Dream Machines;RG3050Ti-15RU20;80999;Intel Core i5-11400H;6;2.7;NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ;Intel UHD Graphics;16;DDR4;512;1920x1080;15.6;WVA (TN+film);без ОС
Dell;Inspiron 15 Plus 7510;82999;Intel Core i5-11400H;6;2.7;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel UHD Graphics;8;DDR4;512;1920x1080;15.6;WVA (TN+film);Windows 11 Home Single Language
MSI;GF63 Thin 11UD-254XRU;84999;Intel Core i5-11400H;6;2.7;NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ;Intel UHD Graphics;8;DDR4;256;1920x1080;15.6;IPS;без ОС
MSI;GF76 Katana 11UC-480XRU;87999;Intel Core i5-11400H;6;2.7;NVIDIA GeForce RTX 3050 для ноутбуков 4 ГБ;Intel UHD Graphics;8;DDR4;512;1920x1080;17.3;IPS;без ОС
Acer;Nitro 5 AN515-57-534E;89999;Intel Core i5-11400H;6;2.7;NVIDIA GeForce RTX 3050 Ti для ноутбуков 4 ГБ;Intel UHD Graphics;8;DDR4;512;1920x1080;15.6;IPS;Windows 11 Home Single Language
